agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,date,mean_va
USGS,6479010,60,128843,9,25,2014,2021,8,9/25/2015,1020
USGS,6479010,60,128843,9,26,2014,2021,8,9/26/2015,1050
USGS,6479010,60,128843,9,27,2014,2021,8,9/27/2015,1040
USGS,6479010,60,128843,9,28,2014,2021,8,9/28/2015,1040
USGS,6479010,60,128843,9,29,2014,2021,8,9/29/2015,999
USGS,6479010,60,128843,9,30,2014,2021,8,9/30/2015,927
USGS,6479010,60,128843,10,1,2014,2022,9,10/1/2015,767
USGS,6479010,60,128843,10,2,2014,2022,9,10/2/2015,711
USGS,6479010,60,128843,10,3,2014,2022,9,10/3/2015,654
USGS,6479010,60,128843,10,4,2014,2022,9,10/4/2015,639
USGS,6479010,60,128843,10,5,2014,2022,9,10/5/2015,679
USGS,6479010,60,128843,10,6,2014,2022,9,10/6/2015,689
USGS,6479010,60,128843,10,7,2014,2022,9,10/7/2015,670
USGS,6479010,60,128843,10,8,2014,2022,9,10/8/2015,657
USGS,6479010,60,128843,10,9,2014,2022,9,10/9/2015,638
USGS,6479010,60,128843,10,10,2014,2022,9,10/10/2015,712
USGS,6479010,60,128843,10,11,2014,2022,9,10/11/2015,658
USGS,6479010,60,128843,10,12,2014,2022,9,10/12/2015,611
USGS,6479010,60,128843,10,13,2014,2022,9,10/13/2015,593
USGS,6479010,60,128843,10,14,2014,2022,9,10/14/2015,583
USGS,6479010,60,128843,10,15,2014,2022,9,10/15/2015,584
USGS,6479010,60,128843,10,16,2014,2022,9,10/16/2015,591
USGS,6479010,60,128843,10,17,2014,2022,9,10/17/2015,597
USGS,6479010,60,128843,10,18,2014,2022,9,10/18/2015,594
USGS,6479010,60,128843,10,19,2014,2022,9,10/19/2015,579
USGS,6479010,60,128843,10,20,2014,2022,9,10/20/2015,553
USGS,6479010,60,128843,10,21,2014,2021,8,10/21/2015,579
USGS,6479010,60,128843,10,22,2014,2021,8,10/22/2015,538
USGS,6479010,60,128843,10,23,2014,2021,8,10/23/2015,497
USGS,6479010,60,128843,10,24,2014,2021,8,10/24/2015,450
USGS,6479010,60,128843,10,25,2014,2021,8,10/25/2015,417
USGS,6479010,60,128843,10,26,2014,2021,8,10/26/2015,400
USGS,6479010,60,128843,10,27,2014,2021,8,10/27/2015,387
USGS,6479010,60,128843,10,28,2014,2021,8,10/28/2015,377
USGS,6479010,60,128843,10,29,2014,2021,8,10/29/2015,365
USGS,6479010,60,128843,10,30,2014,2021,8,10/30/2015,354
USGS,6479010,60,128843,10,31,2014,2021,8,10/31/2015,340
USGS,6479010,60,128843,11,1,2014,2021,8,11/1/2015,330
USGS,6479010,60,128843,11,2,2014,2021,8,11/2/2015,322
USGS,6479010,60,128843,11,3,2014,2021,8,11/3/2015,316
USGS,6479010,60,128843,11,4,2014,2021,8,11/4/2015,315
USGS,6479010,60,128843,11,5,2014,2021,8,11/5/2015,317
USGS,6479010,60,128843,11,6,2014,2021,8,11/6/2015,336
USGS,6479010,60,128843,11,7,2014,2021,8,11/7/2015,346
USGS,6479010,60,128843,11,8,2014,2021,8,11/8/2015,342
USGS,6479010,60,128843,11,9,2014,2021,8,11/9/2015,328
USGS,6479010,60,128843,11,10,2014,2021,8,11/10/2015,310
USGS,6479010,60,128843,11,11,2014,2021,8,11/11/2015,296
USGS,6479010,60,128843,11,12,2014,2021,8,11/12/2015,282
USGS,6479010,60,128843,11,13,2014,2021,8,11/13/2015,264
