agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,,mean_va
USGS,6478513,60,294960,12,17,2014,2021,8,12/17/2015,755
USGS,6478513,60,294960,12,18,2014,2021,8,12/18/2015,754
USGS,6478513,60,294960,12,19,2014,2021,8,12/19/2015,753
USGS,6478513,60,294960,12,20,2014,2021,8,12/20/2015,747
USGS,6478513,60,294960,12,21,2014,2021,8,12/21/2015,734
USGS,6478513,60,294960,12,22,2014,2021,8,12/22/2015,726
USGS,6478513,60,294960,12,23,2014,2021,8,12/23/2015,725
USGS,6478513,60,294960,12,24,2014,2021,8,12/24/2015,730
USGS,6478513,60,294960,12,25,2014,2021,8,12/25/2015,735
USGS,6478513,60,294960,12,26,2014,2021,8,12/26/2015,736
USGS,6478513,60,294960,12,27,2014,2021,8,12/27/2015,734
USGS,6478513,60,294960,12,28,2014,2021,8,12/28/2015,735
USGS,6478513,60,294960,12,29,2014,2021,8,12/29/2015,736
USGS,6478513,60,294960,12,30,2014,2021,8,12/30/2015,739
USGS,6478513,60,294960,12,31,2014,2021,8,12/31/2015,742
